"","Ticker","Book/sh","Cash/sh","Dividend","Dividend %","Employees","Income","Index","Market Cap","Optionable","Recom","Sales","Shortable","Current Ratio","Debt/Eq","Forward P/E","LT Debt/Eq","P/B","P/C","P/E","P/FCF","P/S","PEG","Quick Ratio","SMA20","Earnings","EPS (ttm)","EPS next 5Y","EPS next Q","EPS past 5Y","EPS Q/Q","EPS this Y","Sales past 5Y","Sales Q/Q","SMA50","Gross Margin","Insider Own","Insider Trans","Inst Own","Inst Trans","Oper. Margin","Payout","Profit Margin","ROA","ROE","ROI","SMA200","52W High","52W Low","52W Range","Avg Volume","Rel Volume","RSI (14)","Short Float","Short Ratio","Shs Float","Shs Outstand","Target Price","Volume","ATR","Beta","Change","Perf Half Y","Perf Month","Perf Quarter","Perf Week","Perf Year","Perf YTD","Prev Close","Price","Volatility"
"96","CFG","45.58","10.49","1.44","4.11%","17800","1.72B","S&P 500","16.04B","Yes","2.00","6.17B","Yes","-","0.55","8.91","0.55","0.77","3.34","9.53","81.42","2.60","1.45","-","2.16%","Oct 18 BMO","3.67","6.59%","0.96","20.70%","8.30%","33.40%","10.50%","12.00%","3.34%","-","0.20%","1.66%","-","0.28%","69.70%","31.50%","28.30%","1.10%","8.60%","10.80%","1.49%","-8.66%","27.79%","27.62 - 38.64","4.62M","1.03","57.71","1.10%","1.07","445.70M","458.15M","40.73","3,456,546","0.85","1.47","0.81%","-0.99%","-4.37%","-4.94%","3.67%","-1.96%","17.76%","35.01","35.29","2.04% 2.16%"
"97","CHD","10.57","0.39","0.91","1.23%","4700","603.30M","S&P 500","18.60B","Yes","2.60","4.24B","Yes","0.80","0.85","27.25","0.69","6.98","189.96","30.81","36.57","4.39","3.74","0.40","-0.99%","Oct 31 BMO","2.39","8.25%","0.62","10.20%","12.10%","23.50%","5.40%","5.00%","-2.77%","44.50%","0.20%","-57.40%","88.20%","0.25%","19.50%","36.30%","14.20%","9.80%","24.30%","14.00%","2.15%","-8.85%","28.70%","57.36 - 80.99","1.64M","0.70","43.14","3.61%","5.43","246.64M","252.13M","76.72","836,503","1.27","0.13","0.08%","-0.09%","1.30%","-2.33%","-2.47%","26.06%","12.17%","73.76","73.82","1.63% 1.50%"
"98","CHRW","12.10","2.59","2.00","2.31%","15262","696.40M","S&P 500","11.89B","Yes","2.90","16.09B","Yes","1.80","0.79","17.81","0.76","7.16","33.46","17.33","18.99","0.74","3.08","1.80","3.40%","Oct 29 AMC","5.00","5.63%","1.15","12.40%","8.00%","36.50%","5.50%","-8.60%","3.13%","17.30%","0.70%","-5.77%","93.90%","0.28%","5.90%","38.90%","4.30%","15.20%","42.90%","23.10%","2.02%","-7.84%","11.86%","77.72 - 94.34","1.30M","0.71","60.58","15.92%","16.51","134.26M","137.19M","87.65","669,068","1.76","0.64","0.32%","-3.70%","-0.15%","3.60%","2.76%","-8.00%","3.06%","86.66","86.94","1.73% 1.74%"
"99","CHTR","158.67","3.11","-","-","98000","1.36B","S&P 500","98.75B","Yes","2.20","44.68B","Yes","0.30","2.08","34.85","2.04","2.79","141.88","74.93","27.38","2.21","1.63","0.30","4.27%","Oct 25 BMO","5.90","45.94%","1.62","37.10%","20.70%","90.40%","39.90%","4.50%","7.03%","51.50%","28.01%","-0.01%","77.40%","0.27%","12.90%","0.00%","3.00%","0.90%","3.80%","4.60%","17.68%","-1.13%","61.22%","272.91 - 445.00","1.19M","0.39","67.39","6.32%","8.40","158.41M","223.45M","437.24","338,056","7.65","1.19","-0.44%","22.97%","3.88%","7.84%","3.51%","37.66%","55.08%","441.93","439.99","1.92% 1.81%"
"100","CI","115.92","9.66","0.04","0.02%","73800","3.69B","S&P 500","61.58B","Yes","1.80","102.49B","Yes","-","0.89","8.80","0.84","1.42","17.06","15.07","14.75","0.60","1.19","-","7.94%","Oct 31 BMO","10.93","12.66%","4.36","15.20%","12.50%","8.80%","8.40%","238.40%","5.64%","-","0.20%","0.00%","90.30%","0.17%","6.00%","0.40%","3.60%","2.70%","10.30%","3.80%","-0.21%","-26.84%","16.79%","141.95 - 226.60","2.04M","0.78","64.13","1.44%","2.62","371.95M","373.72M","210.92","1,152,175","4.38","0.69","0.62%","10.58%","2.70%","-5.14%","9.24%","-22.26%","-13.24%","164.77","165.79","2.60% 2.59%"
"101","CINF","55.92","4.91","2.24","1.95%","4999","1.22B","S&P 500","18.82B","Yes","2.90","6.70B","Yes","-","0.10","30.09","0.09","2.06","23.44","15.54","22.84","2.81","2.72","-","0.58%","Oct 24 AMC","7.41","5.72%","0.86","-10.90%","96.40%","-47.30%","3.60%","22.80%","2.59%","-","0.10%","0.11%","65.40%","0.40%","22.20%","28.60%","18.30%","5.30%","14.40%","3.90%","18.66%","-1.92%","63.24%","71.01 - 118.19","604.12K","0.77","55.40","1.41%","3.55","152.59M","163.48M","105.63","335,623","1.83","0.64","0.69%","32.93%","0.50%","7.85%","-0.96%","54.96%","48.70%","115.12","115.92","1.40% 1.54%"
"102","CL","-0.40","-","1.72","2.53%","34500","2.36B","S&P 500","58.63B","Yes","2.80","15.41B","Yes","1.10","-","22.48","-","-","-","25.03","56.54","3.81","14.09","0.80","-4.20%","Nov 01 BMO","2.72","1.78%","0.70","3.60%","-6.70%","9.70%","-2.30%","-0.50%","-5.33%","59.40%","0.20%","-43.93%","80.90%","1.64%","22.90%","64.20%","14.80%","17.90%","-635.90%","45.60%","-2.21%","-10.99%","18.46%","57.41 - 76.41","3.31M","0.96","33.13","1.50%","3.88","854.78M","861.17M","74.10","2,310,799","1.14","0.74","-0.10%","-1.83%","-3.77%","-6.35%","-3.80%","8.74%","14.38%","68.08","68.01","1.57% 1.46%"
"103","CLX","4.41","0.88","4.24","2.84%","8800","820.00M","S&P 500","18.81B","Yes","3.20","6.21B","Yes","0.90","4.80","23.02","4.09","33.88","169.43","23.62","63.54","3.03","8.26","0.60","0.03%","Oct 31 BMO","6.33","2.86%","1.54","7.50%","13.40%","12.00%","2.40%","-3.80%","-3.27%","43.90%","0.20%","-14.18%","82.40%","0.33%","16.50%","59.80%","13.20%","16.10%","118.90%","25.30%","-3.03%","-10.38%","4.68%","143.58 - 167.70","1.03M","0.40","46.03","6.41%","7.78","125.33M","125.88M","147.73","301,824","2.61","0.38","0.60%","-2.66%","-4.11%","-7.70%","-0.90%","0.48%","-3.08%","149.40","150.30","1.39% 1.71%"
"104","CMA","48.18","24.48","2.68","4.15%","7573","1.25B","S&P 500","9.82B","Yes","3.00","2.82B","Yes","-","0.38","8.80","0.38","1.34","2.64","8.34","9.95","3.49","2.32","-","1.52%","Oct 16 BMO","7.74","3.60%","1.90","20.10%","4.20%","50.20%","8.00%","11.80%","3.80%","-","0.30%","-0.70%","90.20%","0.22%","84.30%","32.20%","44.70%","1.80%","16.80%","20.10%","-9.87%","-26.18%","12.18%","58.54 - 88.96","1.89M","0.72","54.90","2.78%","2.18","147.77M","152.00M","70.76","985,249","1.88","1.55","1.67%","-17.46%","-3.48%","-8.60%","1.14%","-23.02%","-5.97%","64.59","65.67","2.98% 2.38%"
"105","CMCSA","16.90","0.86","0.84","1.83%","184000","12.22B","S&P 500","208.84B","Yes","1.90","103.70B","Yes","0.70","1.40","13.47","1.32","2.72","53.29","17.30","16.62","2.01","1.68","0.70","1.05%","Oct 24 BMO","2.66","10.32%","0.75","14.60%","-2.10%","20.60%","7.90%","23.60%","1.69%","68.40%","0.10%","-9.44%","86.00%","0.39%","19.20%","30.10%","11.60%","5.00%","16.40%","8.50%","9.31%","-3.61%","39.73%","32.61 - 47.27","15.91M","0.69","54.34","1.69%","4.78","4.50B","4.55B","50.32","7,945,405","0.73","1.08","-0.80%","8.25%","-2.15%","4.24%","3.21%","27.58%","34.89%","45.93","45.56","1.54% 1.68%"
"106","CME","74.09","2.81","3.00","1.41%","4590","1.81B","S&P 500","77.37B","Yes","2.50","4.59B","Yes","1.00","0.16","28.82","0.16","2.88","75.89","41.57","203.67","16.85","7.87","1.00","0.30%","Oct 30 BMO","5.12","5.28%","1.73","14.30%","-13.60%","-51.00%","8.00%","20.10%","0.10%","-","0.30%","-9.52%","89.70%","0.19%","55.10%","56.40%","39.40%","2.50%","7.10%","5.90%","11.27%","-5.14%","32.47%","161.05 - 224.91","1.25M","0.82","51.48","1.41%","3.97","352.31M","363.24M","214.13","743,889","4.14","0.19","0.16%","20.78%","-1.46%","3.98%","-1.33%","20.79%","13.23%","213.01","213.35","1.69% 1.76%"
"107","CMG","55.49","25.97","-","-","73000","242.50M","S&P 500","22.92B","Yes","2.50","5.19B","Yes","1.50","0.00","47.48","0.00","14.94","31.92","96.24","70.36","4.41","2.88","1.50","2.29%","Oct 22 AMC","8.62","33.39%","3.18","-10.30%","91.70%","-1.40%","8.60%","13.20%","2.56%","26.30%","0.90%","-48.42%","97.50%","0.32%","6.30%","0.00%","4.80%","7.20%","16.90%","11.10%","19.56%","-1.70%","120.07%","383.20 - 857.90","473.91K","1.79","58.06","6.28%","3.62","27.30M","27.64M","796.00","614,974","17.74","0.72","1.72%","18.44%","-0.71%","11.06%","0.16%","91.05%","92.01%","829.07","843.30","1.47% 1.97%"
"108","CMI","52.59","11.00","5.24","3.13%","62610","2.50B","S&P 500","26.39B","Yes","2.80","24.29B","Yes","1.70","0.27","11.88","0.20","3.19","15.23","10.66","16.10","1.09","4.63","1.00","6.13%","Oct 29 BMO","15.73","2.30%","3.83","10.80%","27.40%","24.30%","6.60%","1.50%","9.18%","25.80%","0.10%","0.00%","86.60%","0.60%","13.10%","27.70%","10.70%","13.40%","34.10%","22.70%","7.41%","-3.39%","36.61%","124.40 - 175.91","1.29M","0.73","68.69","3.04%","3.71","157.30M","157.40M","165.37","681,889","3.83","1.14","1.37%","-0.12%","3.26%","-2.99%","6.74%","13.72%","25.44%","167.64","169.94","2.59% 2.26%"
"109","CMS","17.15","1.09","1.53","2.40%","7957","549.50M","S&P 500","18.20B","Yes","2.40","6.93B","Yes","0.90","2.57","23.78","2.35","3.71","58.33","32.86","-","2.63","4.58","0.70","-0.02%","Oct 24 BMO","1.94","7.18%","0.75","5.90%","-33.40%","2.40%","0.90%","-3.20%","2.01%","63.90%","0.30%","-12.92%","95.80%","-0.04%","16.20%","71.80%","8.40%","2.40%","12.10%","6.20%","12.02%","-2.05%","34.31%","47.63 - 65.31","1.85M","0.51","54.03","2.44%","3.73","281.88M","285.79M","63.69","680,446","0.82","0.07","0.46%","18.34%","1.68%","9.30%","-1.01%","28.15%","28.26%","63.68","63.97","1.24% 1.26%"
"110","CNC","29.40","18.55","-","-","47300","1.28B","S&P 500","19.43B","Yes","1.70","69.54B","Yes","1.10","0.59","9.59","0.58","1.60","2.54","15.51","12.97","0.28","1.00","1.10","5.04%","Oct 22 BMO","3.04","15.52%","0.95","25.80%","56.80%","13.50%","40.80%","29.40%","1.92%","18.60%","0.70%","0.10%","92.31%","0.98%","2.50%","0.00%","1.80%","3.90%","11.30%","5.60%","-13.30%","-37.51%","11.83%","41.62 - 74.49","4.78M","0.92","59.32","8.53%","7.22","403.93M","411.92M","68.35","3,186,725","1.25","0.82","-1.34%","-2.12%","2.57%","-10.41%","7.01%","-35.57%","-18.16%","47.18","46.55","2.54% 2.61%"
"111","CNP","12.98","1.91","1.15","4.01%","7977","548.00M","S&P 500","14.41B","Yes","2.10","11.58B","Yes","1.10","2.36","16.20","2.17","2.21","15.04","25.32","-","1.24","5.19","1.00","-1.85%","Nov 07 BMO","1.13","4.88%","0.43","0.40%","288.20%","-52.90%","5.50%","28.00%","-0.21%","-","0.20%","-5.80%","84.10%","0.40%","8.00%","99.00%","4.70%","1.90%","9.10%","4.30%","-3.00%","-8.75%","7.24%","26.74 - 31.42","4.51M","0.51","47.41","2.76%","3.07","501.20M","502.00M","31.93","1,677,318","0.50","0.51","-0.14%","-5.22%","-4.20%","0.24%","1.95%","3.46%","1.70%","28.71","28.67","1.54% 1.53%"
"112","COF","109.19","32.10","1.60","1.78%","50700","5.49B","S&P 500","42.38B","Yes","2.10","28.11B","Yes","-","0.95","7.56","0.95","0.82","2.80","7.79","2.86","1.51","1.28","-","1.45%","Oct 24 AMC","11.56","6.10%","2.86","10.00%","-13.80%","58.90%","6.40%","7.30%","2.23%","-","0.70%","-1.88%","92.50%","0.25%","61.20%","13.70%","19.50%","1.50%","11.30%","16.20%","3.83%","-8.36%","29.29%","69.90 - 98.62","2.44M","0.59","56.11","1.10%","2.11","467.12M","470.80M","105.58","1,049,750","1.90","1.27","0.41%","2.16%","-4.14%","-0.71%","3.42%","-1.77%","19.08%","90.01","90.38","1.91% 1.98%"
"113","COG","5.55","0.58","0.36","2.01%","303","829.80M","S&P 500","7.47B","Yes","2.30","2.44B","Yes","2.70","0.00","12.40","0.52","3.23","30.94","9.28","17.90","3.06","0.28","2.60","1.66%","Oct 24 AMC","1.93","33.24%","0.27","13.00%","355.50%","498.30%","4.60%","17.80%","2.67%","70.50%","1.00%","0.88%","98.10%","-2.66%","46.00%","14.80%","34.50%","19.30%","38.00%","18.70%","-21.22%","-34.92%","12.37%","16.01 - 27.65","8.23M","0.34","55.47","5.95%","2.97","410.80M","417.20M","23.08","2,025,575","0.50","0.54","0.50%","-31.50%","-2.35%","-19.80%","2.23%","-25.10%","-19.91%","17.90","17.99","2.39% 2.72%"
"114","COO","73.04","2.28","0.06","0.02%","12000","464.30M","S&P 500","14.47B","Yes","1.80","2.61B","Yes","1.30","0.50","22.20","0.39","4.00","128.36","31.37","29.06","5.54","3.14","0.70","-1.99%","Aug 29 AMC","9.32","10.00%","3.26","3.70%","24.80%","-5.10%","9.80%","2.90%","-6.45%","66.30%","0.30%","-34.87%","99.50%","0.34%","20.00%","0.70%","17.10%","7.20%","12.90%","8.00%","-4.06%","-16.19%","26.21%","228.65 - 344.32","306.74K","0.55","38.20","1.75%","2.81","49.23M","49.50M","345.69","123,247","5.52","0.91","-1.26%","3.92%","-3.58%","-11.85%","0.50%","11.52%","14.83%","292.25","288.57","1.71% 1.85%"
"115","COP","29.29","5.93","1.68","3.08%","10900","7.13B","S&P 500","61.40B","Yes","1.90","35.94B","Yes","1.80","0.45","13.38","0.45","1.86","9.20","8.82","12.25","1.71","-","1.60","-3.62%","Oct 29 BMO","6.18","-7.46%","0.84","-3.80%","0.60%","480.10%","-7.80%","-11.50%","-1.60%","46.60%","0.09%","0.00%","74.20%","0.25%","26.30%","19.20%","19.90%","10.10%","22.00%","12.60%","-11.98%","-26.66%","8.12%","50.13 - 73.90","6.65M","0.56","43.53","0.90%","1.50","1.11B","1.13B","73.58","2,676,940","1.56","1.04","-0.61%","-17.25%","-9.13%","-9.61%","-2.42%","-26.11%","-12.54%","54.53","54.20","1.72% 2.40%"
"116","COST","32.93","18.61","2.60","0.86%","143000","3.50B","S&P 500","132.74B","Yes","2.30","152.70B","Yes","1.00","0.45","32.58","0.33","9.18","16.25","38.30","78.59","0.87","5.21","0.50","3.75%","Oct 03 AMC","7.90","7.35%","1.71","9.00%","11.00%","17.50%","6.10%","7.40%","5.14%","13.00%","0.20%","-4.40%","74.20%","0.50%","3.10%","29.00%","2.30%","8.10%","25.40%","16.40%","19.50%","-1.49%","59.76%","189.51 - 307.34","2.19M","0.66","70.38","1.15%","2.30","437.23M","438.95M","300.00","1,044,470","4.50","0.92","0.12%","23.02%","3.41%","7.42%","1.77%","32.82%","48.45%","302.40","302.77","1.10% 1.53%"
"117","COTY","6.10","0.47","0.50","4.90%","19000","-3784.20M","-","7.33B","Yes","2.90","8.65B","Yes","0.90","1.67","13.71","1.63","1.67","21.53","-","-","0.85","-","0.60","-0.92%","Aug 28 BMO","-5.04","4.75%","0.07","-1.60%","-","4.60%","13.70%","-8.00%","2.77%","61.90%","0.60%","-","40.20%","0.59%","-40.10%","-","-43.80%","-18.40%","-53.50%","-28.30%","-4.33%","-27.52%","73.35%","5.91 - 14.14","4.34M","0.53","52.06","11.17%","7.35","285.11M","718.58M","11.21","1,661,519","0.29","0.74","0.44%","-9.41%","-2.76%","-7.86%","1.29%","-9.09%","55.49%","10.20","10.24","3.15% 2.72%"
"118","CPB","3.66","0.10","1.40","2.92%","19000","476.00M","S&P 500","14.58B","Yes","3.40","8.11B","Yes","0.60","7.68","18.00","6.44","13.10","470.44","30.45","24.68","1.80","-","0.30","1.51%","Aug 30 BMO","1.58","-4.00%","0.73","-8.70%","-372.30%","-20.40%","-0.40%","12.20%","5.24%","33.50%","0.20%","-5.48%","54.10%","-0.29%","12.10%","199.70%","2.60%","1.50%","16.90%","8.70%","19.39%","-1.69%","48.46%","32.03 - 48.38","2.18M","0.75","60.08","11.28%","8.73","168.75M","304.08M","43.18","1,182,644","0.77","0.41","-0.83%","21.76%","2.96%","16.21%","1.35%","24.90%","45.38%","47.96","47.56","1.66% 1.43%"
"119","CPRI","15.37","1.11","-","-","11096","401.60M","S&P 500","4.48B","Yes","2.50","5.38B","Yes","1.00","1.05","5.82","0.83","2.01","28.00","11.65","9.93","0.83","2.15","0.40","2.12%","Nov 06 BMO","2.66","5.43%","1.25","2.20%","-75.80%","-9.40%","9.60%","11.90%","5.30%","60.60%","0.50%","-","89.90%","-0.01%","10.80%","0.00%","7.50%","6.40%","17.50%","13.10%","-17.90%","-50.05%","23.97%","25.25 - 62.65","3.10M","0.45","58.03","6.32%","2.94","143.95M","144.67M","46.90","1,021,910","1.15","0.86","1.05%","-37.08%","-4.09%","-14.75%","9.63%","-51.65%","-18.33%","30.97","31.30","3.47% 3.47%"
"120","CPRT","7.76","0.81","-","-","7327","592.80M","S&P 500","18.74B","Yes","2.60","2.04B","Yes","2.40","0.23","27.51","0.22","10.44","100.61","32.79","68.73","9.18","1.47","2.40","1.80%","Sep 04 AMC","2.47","22.30%","0.58","29.40%","46.50%","40.00%","11.90%","20.80%","4.11%","44.00%","12.91%","-1.40%","84.60%","0.20%","35.10%","0.00%","29.00%","24.60%","36.30%","27.70%","20.69%","-1.92%","84.03%","44.61 - 83.70","1.37M","1.16","59.52","2.13%","3.16","202.80M","231.35M","86.71","1,151,628","1.45","0.80","1.33%","24.53%","-1.88%","4.53%","-0.04%","58.61%","69.57%","81.02","82.10","1.32% 1.85%"
"121","CRM","22.12","7.03","-","-","35000","993.00M","S&P 500","125.65B","Yes","1.70","14.73B","Yes","1.00","0.20","47.20","0.19","6.61","20.80","116.10","38.84","8.53","6.26","1.00","-3.67%","Nov 21 AMC","1.26","18.55%","0.66","42.30%","-70.40%","125.00%","26.70%","21.80%","-3.85%","74.80%","0.20%","-33.15%","76.50%","0.44%","3.40%","0.00%","6.40%","3.10%","5.90%","3.70%","-6.80%","-14.23%","26.51%","113.60 - 167.56","6.12M","0.99","40.44","-","-","842.11M","859.62M","186.97","4,418,298","3.28","1.21","-1.68%","-6.30%","-4.32%","-6.75%","-0.16%","-0.86%","6.72%","146.17","143.71","2.04% 2.03%"
"122","CSCO","7.86","7.82","1.40","2.98%","75900","12.49B","DJIA S&P500","200.91B","Yes","2.10","51.90B","Yes","1.50","0.73","13.22","0.43","5.98","6.01","16.78","22.47","3.87","2.46","1.50","-1.49%","Nov 13 AMC","2.80","6.83%","0.81","13.50%","10.10%","30.30%","1.90%","4.50%","-2.91%","62.90%","0.10%","-6.12%","77.00%","0.38%","27.40%","51.10%","22.40%","11.50%","30.00%","20.80%","-9.11%","-19.38%","16.70%","40.25 - 58.26","19.76M","0.55","44.77","0.86%","1.84","4.24B","4.27B","55.25","7,940,409","0.95","1.29","-0.13%","-16.61%","-4.68%","-18.01%","1.91%","2.64%","8.54%","47.03","46.97","1.38% 2.01%"
"123","CSX","15.25","2.15","0.96","1.38%","22475","3.44B","S&P 500","56.17B","Yes","2.60","12.35B","Yes","1.60","1.28","15.65","1.26","4.58","32.45","16.79","22.90","4.55","1.79","1.40","1.65%","Oct 16 AMC","4.16","9.38%","1.02","16.00%","6.70%","78.80%","0.40%","-1.30%","2.17%","76.20%","0.22%","-0.94%","78.50%","0.26%","41.00%","22.10%","27.90%","9.20%","27.00%","14.20%","-3.89%","-14.33%","18.29%","58.47 - 80.73","5.34M","3.31","55.73","1.25%","1.87","796.90M","805.00M","76.65","12,796,414","1.55","1.23","-0.88%","-11.64%","-1.93%","-0.75%","4.24%","-3.35%","12.31%","69.78","69.17","2.39% 2.16%"
"124","CTAS","29.46","-","2.05","0.76%","45000","910.20M","S&P 500","27.61B","Yes","2.30","7.01B","Yes","2.00","0.94","28.15","0.83","9.11","-","31.85","-","3.94","2.76","1.70","2.37%","Sep 24 AMC","8.43","11.53%","2.02","21.20%","20.10%","43.60%","9.00%","6.70%","3.31%","45.70%","1.50%","-1.19%","68.30%","0.63%","-","-","-","-","-","15.60%","18.62%","-0.91%","72.66%","155.98 - 271.78","579.95K","0.47","58.40","3.62%","5.54","88.65M","102.90M","272.00","198,808","4.66","0.99","0.37%","25.58%","7.47%","4.06%","0.85%","41.29%","59.73%","268.33","269.31","1.30% 1.75%"
"125","CTL","12.78","0.38","1.00","8.31%","43000","-7918.00M","S&P 500","13.02B","Yes","2.70","22.82B","Yes","0.60","2.54","8.76","2.42","0.94","31.76","-","8.01","0.57","-","0.60","4.17%","Nov 06 AMC","-7.42","10.70%","0.33","-31.10%","21.60%","-434.90%","5.30%","-5.50%","5.51%","54.90%","0.60%","2.24%","75.90%","0.34%","-24.00%","-","-34.80%","-11.60%","-45.40%","0.90%","2.30%","-43.16%","30.19%","9.64 - 22.08","11.81M","0.92","60.33","10.51%","9.62","1.08B","1.08B","12.38","7,886,751","0.38","0.89","4.24%","-0.82%","-5.94%","5.89%","3.53%","-42.67%","-20.53%","12.04","12.55","2.87% 2.88%"
"126","CTSH","18.72","5.32","0.80","1.30%","288200","2.07B","S&P 500","34.62B","Yes","2.80","16.46B","Yes","2.60","0.07","14.19","0.07","3.28","11.53","17.05","22.31","2.10","2.91","2.60","1.10%","Oct 30 AMC","3.60","5.86%","1.05","12.20%","16.00%","0.70%","12.80%","3.40%","-0.96%","37.90%","0.30%","-3.10%","96.00%","0.29%","15.80%","22.10%","12.60%","13.20%","18.80%","17.20%","-7.41%","-18.54%","7.47%","56.73 - 74.85","3.18M","0.44","50.10","2.02%","3.49","549.86M","564.00M","69.27","1,022,180","1.11","1.05","-0.67%","-13.96%","-3.35%","-5.77%","2.64%","-16.49%","-3.31%","61.38","60.97","1.54% 1.82%"
"127","CTVA","34.54","2.78","0.52","1.94%","-","-5551.00M","S&P 500","20.06B","Yes","2.60","13.62B","Yes","1.70","0.08","17.37","0.00","0.78","9.63","-","-","1.47","-","1.20","-2.65%","-","-7.41","5.12%","-0.46","-","26.30%","-297.90%","-","-3.10%","-7.39%","37.80%","0.10%","-","75.30%","0.61%","-38.40%","-","-46.00%","-","-","-6.10%","-6.34%","-19.46%","8.42%","24.35 - 32.78","4.51M","0.91","37.91","1.33%","2.20","747.92M","749.40M","32.40","2,972,604","0.88","-","-1.38%","-","-8.16%","-2.26%","4.04%","-","-7.69%","26.77","26.40","3.22% 3.19%"
"128","CTXS","3.87","4.29","1.40","1.39%","8200","502.10M","S&P 500","13.23B","Yes","2.70","3.00B","Yes","0.80","1.46","16.65","1.46","26.04","23.50","28.61","17.17","4.41","3.67","0.70","5.00%","Oct 24 BMO","3.52","7.80%","1.25","15.90%","-5.20%","25.70%","0.40%","0.80%","7.23%","85.50%","0.90%","-4.21%","-","0.42%","20.10%","26.50%","17.60%","10.70%","89.30%","24.10%","2.85%","-9.34%","12.74%","90.28 - 112.27","2.00M","0.64","76.78","6.00%","3.90","129.82M","131.31M","109.79","927,810","1.52","1.05","0.98%","0.68%","4.21%","-0.41%","3.95%","-3.22%","-1.63%","100.79","101.78","1.61% 1.52%"
"129","CVS","47.10","6.55","2.00","3.01%","295000","4.22B","S&P 500","86.52B","Yes","2.10","227.26B","Yes","0.90","1.16","9.23","1.09","1.41","10.15","19.16","14.13","0.38","5.89","0.60","5.16%","Nov 06 BMO","3.47","3.25%","1.76","-16.80%","159.10%","-113.40%","8.90%","35.20%","6.54%","32.10%","0.24%","-0.83%","79.70%","0.34%","4.30%","56.10%","1.90%","2.30%","8.00%","1.50%","12.82%","-19.66%","27.61%","51.72 - 82.15","7.43M","0.70","64.60","1.74%","3.04","1.30B","1.30B","70.79","3,750,560","1.28","0.83","-0.75%","26.35%","5.12%","18.88%","7.02%","-9.79%","1.50%","66.50","66.00","1.71% 1.93%"
"130","CVX","82.78","4.58","4.76","4.13%","48600","14.71B","DJIA S&P500","216.04B","Yes","2.00","152.89B","Yes","1.10","0.20","14.53","0.16","1.39","25.21","14.96","22.25","1.41","3.07","0.90","-1.90%","Nov 01 BMO","7.71","4.88%","1.67","-7.00%","27.30%","104.50%","-6.30%","-10.60%","-3.02%","41.70%","0.05%","-12.69%","68.60%","0.28%","10.70%","59.40%","9.60%","5.80%","9.50%","5.10%","-4.25%","-9.83%","14.57%","100.22 - 127.34","5.74M","0.74","42.39","1.15%","3.76","1.87B","1.87B","137.75","3,057,831","1.98","1.01","-0.46%","-3.76%","-7.11%","-7.75%","0.66%","-1.84%","6.03%","115.35","114.82","1.24% 1.56%"
"131","CXO","90.16","0.00","0.50","0.79%","1503","498.00M","S&P 500","12.58B","Yes","1.90","4.49B","Yes","0.60","0.25","13.07","0.24","0.70","-","25.80","4.61","2.80","7.80","0.60","-5.27%","Oct 29 AMC","2.45","3.31%","0.71","42.20%","-152.60%","254.70%","12.30%","19.30%","-9.87%","84.60%","0.60%","-3.11%","97.80%","0.15%","10.30%","10.00%","11.20%","2.00%","2.80%","10.00%","-35.90%","-58.19%","2.51%","61.37 - 150.45","2.80M","0.46","37.27","3.20%","2.28","198.95M","199.19M","111.21","938,257","2.43","1.26","-0.36%","-46.02%","-14.05%","-37.87%","-1.64%","-58.73%","-38.57%","63.14","62.91","3.39% 3.31%"
"132","D","32.52","0.48","3.67","4.45%","21300","915.00M","S&P 500","66.09B","Yes","2.50","14.64B","Yes","0.60","1.59","18.79","1.40","2.53","173.00","53.05","-","4.51","11.56","0.40","1.40%","Nov 01 BMO","1.55","4.59%","1.14","4.30%","-90.20%","12.70%","0.40%","28.60%","4.33%","99.00%","0.28%","0.96%","68.00%","0.43%","13.30%","235.60%","5.90%","1.00%","3.80%","5.50%","8.27%","-0.54%","21.99%","67.41 - 82.68","3.71M","0.62","62.63","1.90%","4.11","800.93M","802.21M","81.87","1,656,307","1.02","0.21","-0.18%","9.96%","2.90%","7.20%","0.73%","13.94%","15.28%","82.38","82.24","1.19% 1.21%"
"133","DAL","21.47","-","1.61","3.02%","88680","4.72B","S&P 500","34.80B","Yes","2.00","46.31B","Yes","0.30","0.72","7.45","0.55","2.49","-","7.48","6.72","0.75","0.62","0.30","-2.49%","Oct 10 BMO","7.14","11.97%","1.41","-14.30%","48.90%","13.90%","3.30%","6.50%","-5.45%","54.30%","0.20%","-10.21%","89.60%","0.75%","11.80%","22.30%","8.90%","6.90%","30.50%","17.30%","-1.97%","-15.05%","19.54%","45.08 - 63.44","6.23M","0.57","40.32","2.99%","3.11","647.90M","652.04M","67.00","2,595,704","1.35","1.16","0.97%","-8.25%","-10.02%","-12.38%","0.51%","0.49%","6.95%","53.37","53.89","1.86% 2.29%"
"134","DD","56.08","2.23","1.20","1.81%","98000","-282.00M","-","49.61B","Yes","2.10","51.10B","Yes","1.60","0.41","15.24","0.37","1.18","29.72","-","-","0.97","-","1.00","-2.70%","Oct 31 BMO","-0.41","6.21%","0.95","-","-","477.40%","-","-6.60%","-3.33%","25.30%","0.10%","-","74.50%","0.36%","1.10%","320.00%","1.70%","0.50%","1.10%","3.60%","-10.28%","-23.37%","4.84%","62.87 - 86.01","3.62M","0.49","43.95","0.98%","2.01","743.88M","749.00M","82.67","1,292,252","1.70","-","-0.48%","-19.76%","-8.00%","-7.46%","4.89%","-22.75%","-12.96%","66.23","65.91","2.66% 2.37%"
